,zip,Population,income,edu_high,Emp,Race_w,Race_h,Race_b,Race_a,Race_m,Race_o,Households
39,89117,"53,462","$200,960.000000",15.6k,27.5k,29.8k,"8,410","4,014","7,704","2,844",711,"22,419"
40,89118,"20,682","$162,120.000000","4,108",11.2k,"8,702","4,191","2,798","3,655","1,170",166,"8,130"
41,89119,"50,333","$117,859.000000","7,245",24.3k,15.6k,21.6k,"6,596","4,319","1,469",794,"20,273"
42,89120,"24,830","$170,696.000000","5,412",12.0k,12.1k,"7,459","2,268","1,928",649,386,"9,147"
43,89121,"63,884","$131,266.000000","8,929",28.1k,26.1k,26.6k,"6,276","2,986","1,164",767,"23,737"
44,89122,"49,800","$124,047.000000","7,516",22.8k,17.1k,18.9k,"5,291","5,547","2,080",944,"17,575"
45,89123,"57,322","$181,696.000000",14.6k,30.9k,32.3k,11.5k,"3,266","7,089","1,787","1,402","22,715"
46,89124,783,"$250,001.000000",313,428,620,71,1,28,32,31,303
47,89128,"37,110","$187,104.000000","9,564",18.0k,18.0k,"8,622","4,954","3,599","1,595",345,"14,458"
48,89129,"55,164","$193,605.000000",14.5k,27.9k,32.8k,"9,211","5,742","4,539","2,431",486,"19,825"
49,89130,"35,480","$168,484.000000","7,765",16.2k,20.0k,"7,353","5,041","1,713","1,180",150,"12,563"
50,89131,"46,129","$206,955.000000",12.3k,21.7k,30.0k,"7,197","3,701","2,709","2,183",352,"15,725"
51,89134,"25,053","$234,601.000000",10.1k,"8,352",19.2k,"2,170","1,313","1,736",561,101,"11,679"
52,89135,"25,919","$250,001.000000",11.1k,12.1k,17.6k,"2,631","1,266","3,355",996,93,"10,750"
53,89138,"14,753","$250,001.000000","5,671","6,949","8,924","1,951",731,"2,387",515,245,"5,007"
54,89139,"37,869","$184,123.000000",10.0k,20.8k,12.6k,"8,301","3,733",10.8k,"1,778",688,"11,793"
55,89141,"29,182","$240,076.000000","8,201",14.8k,14.9k,"4,780","2,374","5,652","1,176",254,"9,627"
56,89142,"34,834","$136,603.000000","4,711",16.2k,"8,184",17.4k,"3,266","4,392",963,582,"10,575"
57,89143,"12,778","$192,977.000000","3,144","5,738","8,002","2,195",960,827,700,94,"4,094"
58,89144,"18,858","$250,001.000000","6,490","8,437",12.0k,"2,267","1,487","2,501",454,129,"7,132"
59,89145,"25,193","$219,090.000000","6,073",12.1k,13.8k,"7,124","1,655","1,658",809,161,"9,442"
60,89146,"17,896","$166,520.000000","3,716","7,988","7,500","5,553","1,784","2,462",523,74,"6,411"
61,89147,"52,646","$160,290.000000",11.7k,26.3k,22.0k,10.6k,"6,622",10.0k,"2,477",954,"18,889"
62,89148,"47,938","$167,138.000000",13.1k,25.2k,20.2k,"7,950","4,021",11.6k,"3,314",922,"16,174"
63,89149,"35,120","$207,908.000000","9,592",17.0k,22.4k,"4,449","3,629","2,323","1,790",523,"13,091"
64,89156,"29,132","$135,845.000000","2,893",12.2k,"9,107",13.4k,"3,729","1,426",983,449,"9,055"
65,89161,52,0.000%,0,52,38,14,0,0,0,0,44
66,89166,"17,783","$178,758.000000","4,421","7,364","9,851","3,061","2,179","1,418",927,347,"5,094"
67,89169,"22,421","$125,360.000000","3,016",10.7k,"6,347",10.4k,"2,971","1,848",731,126,"8,990"
68,89178,"35,241","$203,397.000000",10.5k,19.3k,15.8k,"5,355","2,365","8,724","2,466",570,"11,679"
69,89179,"5,178","$203,279.000000","1,670","2,686","2,355",922,258,"1,399",228,16,"1,694"
70,89183,"38,974","$163,121.000000","9,278",20.4k,18.4k,"7,781","3,745","6,034","2,492",546,"13,897"
